"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"9386222","01001722513023031000000000U4","BARBACOA DE BORREGO LA FUNDICION",,"722513","Restaurantes con servicio de preparación de antojitos","0 a 5 personas","AVENIDA","FUNDICION","CALLE","DOCTOR ANTONIO ÁVILA CASTAÑEDA","CALLE","CALLE DEL CARMEN","CALLE","CALLE DEL CARMEN","230",,,,,,"COLONIA","DEL CARMEN",,,,,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0483","007",,,,"Fijo","21.88989121","-102.30645702","2021-11"
"8196062","01001722513019611000000000U9","BARBACOA DE RES LOS CRUDOS",,"722513","Restaurantes con servicio de preparación de antojitos","0 a 5 personas","AVENIDA","MARIANO ESCOBEDO","CALLE","NADIR","CALLE","CENIT","CALLE","SOL","703","A",,,"1",,"FRACCIONAMIENTO","VISTA DEL SOL II",,,,"20264","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2475","016","4495496478",,,"Fijo","21.86321112","-102.27408017","2019-11"
"49","01003722219000241000000000U6","BARBACOA DE RES MIGUEL",,"722513","Restaurantes con servicio de preparación de antojitos","0 a 5 personas","CALLE","CENTENARIO","CALLE","MALECON","CALLE","HERMANOS GALEANA","CALLE","IGNACIO ALLENDE","100",,"MERCADO PUBLICO","PLANTA BAJA","12",,"COLONIA","CENTRO","MERCADO PUBLICO","MANUEL GOMEZ MORIN","12","20800","01","AGUASCALIENTES","003","Calvillo","0001","Calvillo","0187","010","4951039621",,,"Fijo","21.84762419","-102.71834049","2010-07"
"7461395","01005722513001361000000000U2","BARBACOA DEL VALLE",,"722513","Restaurantes con servicio de preparación de antojitos","0 a 5 personas","AVENIDA","ALEJANDRO DE LA CRUZ SAUCEDO","CALLE","AGUA DURA","CALLE","MANGLARES","CALLE","COCOTERO",,"SN",,,,,"COLONIA","LOS MANANTIALES",,,,"20926","01","AGUASCALIENTES","005","Jesús María","0001","Jesús María","0533","012","4499281311",,,"Fijo","21.95883885","-102.33737973","2019-11"
"21453","01001722219024373000000000U3","BARBACOA DON CHAVA",,"722513","Restaurantes con servicio de preparación de antojitos","0 a 5 personas","AVENIDA","CONVENCION DE 1914 PONIENTE","CALLE","TALAMANTES","CALLE","AQUILES ELORDUY","CALLE","DAVID REYNOSO FLORES","615",,,,"0",,"COLONIA","BARRIO SAN MARCOS",,,,"20070","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0604","020",,,,"Fijo","21.88033336","-102.31225309","2010-07"
"8195906","01001722513019551000000000U7","BARBACOA DON CHAVA",,"722513","Restaurantes con servicio de preparación de antojitos","0 a 5 personas","CALLE","MARIANO MATAMOROS NORTE","CALLE","GENERAL IGNACIO ALLENDE","CALLE","VENUSTIANO CARRANZA","CALLE","JOSÉ F. ELIZONDO","204",,,,"0",,"COLONIA","ZONA CENTRO",,,,"20000","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0623","001",,,,"Fijo","21.88056909","-102.29995415","2019-11"
"8524898","01001722513020051000000000U5","BARBACOA EL CHAUDER",,"722513","Restaurantes con servicio de preparación de antojitos","0 a 5 personas","AVENIDA","INDEPENDENCIA","PRIVADA","INDEPENDENCIA 154","CALLE","PETROLEOS MEXICANOS","CALLE","SAUCE","146",,,,,,"COLONIA","INDUSTRIAL",,,,"20030","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0500","011",,,,"Fijo","21.8925904","-102.29523354","2019-11"
"9387754","01001722513023121000000000U3","BARBACOA LOS 3 HIDALGUENSES","JOEL ESPINOZA PERALTA ","722513","Restaurantes con servicio de preparación de antojitos","0 a 5 personas",,"SITIO DE CUAUTLA",,"30 DE JULIO",,"HEROE INMORTAL",,"30 DE JULIO","200","A",,,,,,"1821",,,,"20270","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2691","025",,,,"Fijo","21.85636125","-102.26899084","2022-05"
"6980505","01001722513016421000000000U6","BARBACOA LOS MIJITOS",,"722513","Restaurantes con servicio de preparación de antojitos","0 a 5 personas","AVENIDA","AVENIDA DE LA ESPIGA","CALLE","MAESTRO CANDELARIO RIVAS","CALLE","MAESTRO JUAN ARELLANO","CALLE","SAXOFÓN","1108",,,,,,"FRACCIONAMIENTO","VISTA DE LAS CUMBRES",,,,"20174","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","3577","008","4499804386",,,"Semifijo","21.89698464","-102.24227817","2019-11"
"9035478","01001722513019962000000000U6","BARBACOA LOS RIVERA",,"722513","Restaurantes con servicio de preparación de antojitos","6 a 10 personas","CALLE","HERMANOS GALEANA","CALLE","MUNGUIA","CALLE","HERRERA","CALLE","CORREGIDORA","1708","A",,,"0",,"FRACCIONAMIENTO","MORELOS II",,,,"20298","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2704","002","4493869168",,,"Fijo","21.85107566","-102.26289415","2019-11"
